path	bytes	sha256
.gitattributes	86	2bfea8d4231ee09b6c0ae46f9b22fe55c3f9449cb19656e62c68f70310cbc144
.github/workflows/ci.yml	1775	93dd3a90c2ac869d48e7e0244756158e99aadc8cbeb4f3d33084f6c617eb7a24
.github/workflows/pages.yml	1873	51d8b2f900a319e6e9c39f3123c68021e31687078f68504469dd2612fd630e4d
.github/workflows/publish-pypi.yml	1453	517ffa34b5fb8629bd64ca36cbcce9361a4a0bb3f48e7312d774f348a00d8525
.github/workflows/release-parity.yml	568	5ac74e2adb31c06a3c504cde8b3c2d5c5f6455a403d5c774375ed8676c56fe0b
.gitignore	582	db34f2c8a8ed166452566c79f9e27f298a3887fa5ea96c250ab6a03b0d317299
.zenodo.json	2211	7be301b1d80d2bdcadb7db1fb77cb277b57328cb027e43b42600923b92b3ae6a
CITATION.cff	1413	b54339e4325d55c64282f72fd831b76ff73b7d6481490d82ab1b1a85e0d9d7d7
HUGGINGFACE_DATASET_CARD.md	6633	ca8b7774f27a2b62cd94d1e711af3dcac50db0a205d9ec161345c04bc8ab2fcc
LICENSE.md	1198	8d2df3f87410782d800de5ae20aea026d5026d86641675494d4b0f8375bb144e
LICENSES/CC-BY-4.0.txt	17099	5e9ae21254a0a6e9b431bd796c92454639bb5bd7c135f456dc0e38bee2d37ada
LICENSES/MIT.txt	1078	14cb714257c45a5b3bf70788d4dbaff9d31305fd892610e5fe243c0cb17bc64e
MANIFEST.in	482	5b8383f015f7df2b39b1878ee87f1ce75a9412c7b65851223cec3d02874f8f44
README.md	11576	f6c5677723397b1ded70ff9e988a54d36a6e6dc8d4b4b61f303221327ea33423
REPRODUCIBILITY_ARTIFACTS.md	21177	d41ce775e48ca42049d5b165f3c457bc5404bd999b09478401c52d6ec9405b24
ZENODO_METADATA.md	3108	05f1ece7b5ca615c148e450f7963ec06dfddc5ec346446086dba3150cf37eefd
artifacts/PQID_BENCH_2_OSF_STAGE_1_RECEIPT.json	2112	0f475be2350a082e94cd6853b7471d4553a530acc370e3f6f925137e7213a7b6
artifacts/PQID_BENCH_2_OSF_STAGE_1_RECEIPT.md	1776	321690fe49fc8ae1685aee2281c90ffeb31272a82c39c6167023ce72b769cff9
artifacts/analysis_154/PQID_BENCH_21_MODEL_PERFORMANCE_AND_INSIGHTS.md	13684	2e88b0feaf9002a0d02a021e83f58f711707925aca9f1afac50c239894c03a13
artifacts/analysis_154/PQID_BENCH_EXPANDED_STATUS_REPORT.json	2896	0b6823b484f875c12c27e4080d1e1638ccc1cb6eda85b91fdad6499b376036cc
artifacts/analysis_154/PQID_BENCH_EXPANDED_STATUS_REPORT.md	7402	3b9e859ba9fba621efe142520049c399233f29257c21f6d9f0d9a1396f470f01
artifacts/analysis_154/PQID_BENCH_EXPANDED_STATUS_REPORT_initial19.json	55712	371fb536f63b5e53339d7e4a635a0b3af2e9e32639b0788749db0e441cb5a0fa
artifacts/analysis_154/PQID_BENCH_EXPANDED_STATUS_REPORT_initial19.md	11136	90f3569201d46ce72a67f04ee102b021b1d837d63a927baea17696c2a677052c
artifacts/analysis_154/evaluator_builtin_correction/evaluator_builtin_correction_cell_audit.jsonl	1164546	010d42ed4fb31d4158223d03600bcad8e97b08fe58db3dceb4f5fcfce8f5a79c
artifacts/analysis_154/evaluator_builtin_correction/evaluator_builtin_correction_report.json	32611	f1df845eb60863b847315b03cd7c0139ed4c8d942011dd0de15155ec8f12c304
artifacts/analysis_154/evaluator_builtin_correction/evaluator_builtin_correction_report.md	3181	82b3bfbeff58318817a69f2aaca4b75e3ef547c99aefe3871ea0eacd65213e0a
artifacts/analysis_154/evaluator_builtin_correction/pre_correction_19_model_results_summary.json	28090	d7e2d664cfe36cd9407a1f14fc5b4f37c3b7459d8050287c2f44811603be6d96
artifacts/analysis_154/evaluator_builtin_correction/pre_correction_19_model_results_summary.md	8754	d6a4657d818a176304403655caadc779acb87dfded5750a1a413806ac80032d9
artifacts/analysis_154/pqid_bench_clustering_logistic_analysis.json	612089	69a49155487dcb8e91185a6d7871fbb98baf38472d5cde3e2f949dd6a8c89c1d
artifacts/analysis_154/pqid_bench_clustering_logistic_analysis.md	3811	ce153fd4572fabb972362864b6b2b891a33dad55a1e61a74ee0f3f9dc1a13d07
artifacts/analysis_154/pqid_bench_clustering_logistic_analysis_21.json	612089	69a49155487dcb8e91185a6d7871fbb98baf38472d5cde3e2f949dd6a8c89c1d
artifacts/analysis_154/pqid_bench_clustering_logistic_analysis_21.md	3811	ce153fd4572fabb972362864b6b2b891a33dad55a1e61a74ee0f3f9dc1a13d07
artifacts/analysis_154/pqid_bench_clustering_logistic_analysis_initial19.json	554145	4f09cd59ef308858c1baf86ee73333b83921cfab3ae1e4899dbda502d05c69c9
artifacts/analysis_154/pqid_bench_clustering_logistic_analysis_initial19.md	3812	0ad1b5e84142d9a32f5cbc781cfa9716e1707f8d3857d59389439bcbe1841f6f
artifacts/analysis_154/pqid_bench_complexity_difficulty_analysis.json	44141	23b1ada3356d064deac367f30c9083b3a1b82148e6898715a4007de9b3294ab1
artifacts/analysis_154/pqid_bench_complexity_difficulty_analysis.md	10832	12e9cc9cabba96de03e0af3b45373aa6c60e241d0cf0b64dfd4bccac0d731d82
artifacts/analysis_154/pqid_bench_complexity_difficulty_analysis_21.json	44141	23b1ada3356d064deac367f30c9083b3a1b82148e6898715a4007de9b3294ab1
artifacts/analysis_154/pqid_bench_complexity_difficulty_analysis_21.md	10832	12e9cc9cabba96de03e0af3b45373aa6c60e241d0cf0b64dfd4bccac0d731d82
artifacts/analysis_154/pqid_bench_complexity_difficulty_analysis_initial19.json	43747	929932fb3c5ad11fd0c0f3c12c6af5930d67fcb5877929b192600917c429407d
artifacts/analysis_154/pqid_bench_complexity_difficulty_analysis_initial19.md	10829	312e261369bba664f5a88924711670a4cc4d4e27ef9240104463007f045a8142
artifacts/analysis_154/pqid_bench_complexity_difficulty_identifiable_150.json	44214	397d4cc51580684f8c7b5f6ab80bf7231876ab33b76d00cac36892f012c19519
artifacts/analysis_154/pqid_bench_complexity_difficulty_identifiable_150.md	10846	7791facd59cad5b7866e5362e6f679bf4136263c33332d0d699caa70d48c7408
artifacts/analysis_154/pqid_bench_complexity_difficulty_identifiable_150_initial19.json	43824	915d57c3f0c3875e1c684520bd050e514a2a02b7476ebf0edd34ab02b3e5e068
artifacts/analysis_154/pqid_bench_complexity_difficulty_identifiable_150_initial19.md	10842	98cbe9631e277edbe34437754b13cc08ed9429ca5c9207f306367b85354cbb41
artifacts/analysis_154/pqid_bench_family_vendor_sensitivity.csv	4432	52fe371eb09a49c48b072dc721e3456273a5080b3c6676c9cf2f2877f0d1e1e3
artifacts/analysis_154/pqid_bench_grouped_cross_validation.csv	1207	9428f882caa3332afdc08299872306745dffaae7cc3fa2b39b4a9ff084680212
artifacts/analysis_154/pqid_bench_grouped_cross_validation_21.csv	1207	9428f882caa3332afdc08299872306745dffaae7cc3fa2b39b4a9ff084680212
artifacts/analysis_154/pqid_bench_grouped_cross_validation_initial19.csv	1208	85afd9ac21c016740321c50876d3deba848332bf89ae4702f4376a9e4512a245
artifacts/analysis_154/pqid_bench_inferential_analysis.json	90192	f67d3a6646536beb5189eadcaa03c38f94e1c4977372faa3370be6f22467b33d
artifacts/analysis_154/pqid_bench_inferential_analysis.md	9084	26d048188ccf8a13046b9de16c0f2eafdff9f87355416e86b2857c8fc46d5035
artifacts/analysis_154/pqid_bench_inferential_analysis_21.json	90192	f67d3a6646536beb5189eadcaa03c38f94e1c4977372faa3370be6f22467b33d
artifacts/analysis_154/pqid_bench_inferential_analysis_21.md	9084	26d048188ccf8a13046b9de16c0f2eafdff9f87355416e86b2857c8fc46d5035
artifacts/analysis_154/pqid_bench_inferential_analysis_initial19.json	83876	380c8bfe8029754cd077affcc32cb1480fb02a19ec47572ec291bf747c09fba9
artifacts/analysis_154/pqid_bench_inferential_analysis_initial19.md	8790	dc6071503d64b5e2b659e534d341ea7218bca776e24907ee8f81ae3ac03731fd
artifacts/analysis_154/pqid_bench_inferential_model_terms.csv	3100	50d4a467bf9f90c870c2a774fdd1d2d2fb90bdd415892cca0f9ab2c5d6efe45c
artifacts/analysis_154/pqid_bench_inferential_model_terms_21.csv	3100	50d4a467bf9f90c870c2a774fdd1d2d2fb90bdd415892cca0f9ab2c5d6efe45c
artifacts/analysis_154/pqid_bench_inferential_model_terms_initial19.csv	3098	5b0adb085b36eb5fefc6722cdb7f623de97e258ae94784f523f949bf4560af3f
artifacts/analysis_154/pqid_bench_item_failure_matrix_analysis.json	79120	dac7ef8ab1b8f17219aacc0cbe3b91505c5c55756da7e82c00b1d6dd5248565f
artifacts/analysis_154/pqid_bench_item_failure_matrix_analysis.md	12482	debaeeb55abed25eb9ca57aca0b09bc8af3b24dae703b377e0628d27363d3135
artifacts/analysis_154/pqid_bench_item_failure_matrix_analysis_21.json	79120	dac7ef8ab1b8f17219aacc0cbe3b91505c5c55756da7e82c00b1d6dd5248565f
artifacts/analysis_154/pqid_bench_item_failure_matrix_analysis_21.md	12482	debaeeb55abed25eb9ca57aca0b09bc8af3b24dae703b377e0628d27363d3135
artifacts/analysis_154/pqid_bench_item_failure_matrix_analysis_initial19.json	78832	dab7ecab620dbfd2c74f40f2375cc9accbb4ab1bca6e2b2916ed4f31cabdb4a2
artifacts/analysis_154/pqid_bench_item_failure_matrix_analysis_initial19.md	12178	da74352bd6213d70a537592261db88c27cc1034647a6d2cb2230d97b890b3161
artifacts/analysis_154/pqid_bench_model_by_prompt_structural_matrix.csv	52260	86e308d1f28af25d8dd118660bdc8b4d13cb5c9bac62e8ef6c39135e8309b762
artifacts/analysis_154/pqid_bench_model_by_prompt_structural_matrix_21.csv	52260	86e308d1f28af25d8dd118660bdc8b4d13cb5c9bac62e8ef6c39135e8309b762
artifacts/analysis_154/pqid_bench_model_by_prompt_structural_matrix_initial19.csv	51567	d4b03f814838ad24d8d2ad4d350ab3c347a1b60d9b3ea4265750c7bb8b2cad7f
artifacts/analysis_154/pqid_bench_model_regression_analysis.json	19090	6e79d5d6431ce0364bda4d7f009977c151f649b70cbf4ece41e3926e90339cb7
artifacts/analysis_154/pqid_bench_model_regression_analysis.md	6471	9d598ce10ee143e1b43a348949aa996c2d98a5b28aead83db49d09804bf6c301
artifacts/analysis_154/pqid_bench_model_regression_analysis_21.json	19090	6e79d5d6431ce0364bda4d7f009977c151f649b70cbf4ece41e3926e90339cb7
artifacts/analysis_154/pqid_bench_model_regression_analysis_21.md	6471	9d598ce10ee143e1b43a348949aa996c2d98a5b28aead83db49d09804bf6c301
artifacts/analysis_154/pqid_bench_model_regression_analysis_initial19.json	17813	98c7df7d3ada9346947b2c786801b30ca1cbe1293065789adf931f939118e1c2
artifacts/analysis_154/pqid_bench_model_regression_analysis_initial19.md	6275	4a9ffea082c17bf7a8d731e61d153f1d9acf05e92ef1a7d80f26ea6142af4d57
artifacts/analysis_154/pqid_bench_model_regression_identifiable_150.json	18147	977012cf569f68398df6e5d51ad4f6c3f6d6fafc0b8cbba4b810c16a395c6aa4
artifacts/analysis_154/pqid_bench_model_regression_identifiable_150.md	6475	f6c0c0cbc93a8ed74673f239fd429f36f402d9b0bb9c23fe4cf1feff897c5c65
