analysis,label,model_count,prompt_count,execution_rate,signature_rate,execution_structure_gap,family_macro_rate,gate_entropy_odds_ratio,barrier_odds_ratio,delta_from_full
per_model_family_balance,GPT-5.6 Sol,1,154,0.9935064935064936,0.6298701298701299,,0.529265873015873,,,-0.10060425685425689
per_model_family_balance,GPT-5.5,1,154,0.974025974025974,0.6038961038961039,,0.5218253968253969,,,-0.08207070707070707
per_model_family_balance,GPT-5.4 mini,1,154,0.9805194805194806,0.6038961038961039,,0.537202380952381,,,-0.06669372294372289
per_model_family_balance,Claude Fable 5,1,154,0.9805194805194806,0.6298701298701299,,0.5182539682539683,,,-0.11161616161616161
per_model_family_balance,Claude Sonnet 4.6,1,154,0.9935064935064936,0.5909090909090909,,0.5034722222222222,,,-0.08743686868686873
per_model_family_balance,Claude Opus 4.8,1,154,1.0,0.5974025974025974,,0.5011904761904761,,,-0.0962121212121213
per_model_family_balance,Gemini 2.5 Pro,1,154,0.8831168831168831,0.538961038961039,,0.4061507936507936,,,-0.13281024531024538
per_model_family_balance,Gemini 3.1 Pro Preview,1,154,0.9675324675324676,0.6103896103896104,,0.5054563492063492,,,-0.10493326118326118
per_model_family_balance,DeepSeek V4 Pro,1,154,0.9155844155844156,0.5909090909090909,,0.4676587301587301,,,-0.12325036075036083
per_model_family_balance,DeepSeek V4 Flash,1,154,0.8896103896103896,0.525974025974026,,0.4575396825396825,,,-0.06843434343434346
per_model_family_balance,Codestral 25.01,1,154,0.935064935064935,0.5584415584415584,,0.4781746031746032,,,-0.08026695526695521
per_model_family_balance,Qwen3-Coder-Next,1,154,0.8571428571428571,0.5064935064935064,,0.3755952380952381,,,-0.13089826839826835
per_model_family_balance,Llama 4 Maverick,1,154,0.9415584415584416,0.487012987012987,,0.37261904761904757,,,-0.11439393939393944
per_model_family_balance,Llama 3.3 70B,1,154,0.935064935064935,0.461038961038961,,0.3935515873015873,,,-0.06748737373737373
per_model_family_balance,GPT-OSS 120B,1,154,0.9675324675324676,0.5324675324675324,,0.4526785714285713,,,-0.0797889610389611
per_model_family_balance,GPT-OSS 20B,1,154,0.9285714285714286,0.5064935064935064,,0.44047619047619047,,,-0.06601731601731597
per_model_family_balance,Mistral Small 3.2 24B,1,154,0.9025974025974026,0.487012987012987,,0.4478174603174603,,,-0.03919552669552673
per_model_family_balance,Qiskit Mistral 3.2 24B,1,154,0.8961038961038961,0.44805194805194803,,0.4133928571428571,,,-0.03465909090909092
per_model_family_balance,Qwen3 32B,1,154,0.577922077922078,0.35064935064935066,,0.29374999999999996,,,-0.0568993506493507
per_model_family_balance,Llama 4 Scout,1,154,0.8246753246753247,0.44805194805194803,,0.333531746031746,,,-0.11452020202020202
per_model_family_balance,Llama 3.1 8B,1,154,0.8116883116883117,0.35064935064935066,,0.26299603174603176,,,-0.0876533189033189
leave_one_developer_out,none,21,154,0.9121830550401979,0.5265924551638838,0.38559059987631417,0.4386952003023432,0.48806598924452516,0.32465466815020805,0.0
leave_one_developer_out,Alibaba/Qwen,19,154,0.9326725905673274,0.5369104579630896,0.39576213260423787,0.4496449456975773,0.46796945128427425,0.31957165235817553,0.010318002799205805
leave_one_developer_out,Anthropic,18,154,0.898989898989899,0.5133477633477633,0.3856421356421357,0.4272045855379189,0.4944847706800722,0.33855435406850415,-0.013244691816120424
leave_one_developer_out,DeepSeek,19,154,0.9131920710868079,0.5232399179767601,0.38995215311004783,0.4361789891395154,0.4912126873014114,0.32272599378929234,-0.003352537187123694
leave_one_developer_out,Google,19,154,0.9107997265892003,0.5215311004784688,0.38926862611073143,0.4368943191311612,0.4872514234760456,0.3173165745438846,-0.005061354685414909
leave_one_developer_out,IBM/Qiskit,20,154,0.912987012987013,0.5305194805194805,0.3824675324675325,0.4399603174603175,0.4817515381322612,0.32756919327675255,0.003927025355596747
leave_one_developer_out,Meta,17,154,0.9201680672268907,0.5477463712757831,0.37242169595110763,0.46175887021475254,0.47958909169897385,0.3079007676877293,0.021153916111899318
leave_one_developer_out,Mistral AI,19,154,0.9114832535885168,0.5269993164730007,0.3844839371155161,0.4361372180451128,0.49514540618814434,0.32808552693729176,0.00040686130911693486
leave_one_developer_out,OpenAI,16,154,0.8944805194805194,0.5113636363636364,0.3831168831168831,0.4206969246031746,0.5069821195945216,0.33425812922165815,-0.015228818800247401
