run,model,model_label,model_order,slug,provider,prompt_id,cohort,gate_type_bin,has_barrier,execution,signature,runnable_wrong,qasm3,gate_count_diagnostic,finish_reason,provider_error,transport_affected,attempt_trace_recorded,attempt_count,initial_attempt_success,recovered_after_transport_error,created_at_utc,request_sha256,response_sha256,normalized_text_sha256,ast_sha256,ast_parse_success
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0002,pilot,5+,True,1,0,1,1,1,end_turn,0,0,0,,,,2026-07-12T13:40:31+00:00,c9a8f6a9a3ab0e7e9f4e8d7ee0c710c3c815eb44e9c8abb869477f0b1800d364,739b43447124e4302ad48d2c5004576e43dd24248b3f615f4793e519e4beb465,217864144e5d801ed780c9de2b62bbcaf6c87b2241c76870867be16371999e77,eb8145c1f3a90f68ee00a7a282324a87d9096241f157cf223acb6e7f168be23a,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0006,pilot,1-2,False,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:41:01+00:00,76a1673ef46d537d1086e949d882599a758ae7355c1d6e800935d382b8e6d111,39308c9f121bed29e7a4fca4c2c76dc512277d0672f572bf12dc212603563173,1c1a56ec6352b0c246ca7fd3657306f262360ae0e91c5c045fd07be21336041d,82b0b0d478e9ed124d75b4dc25290a5e429d9cc3906a7ba6b62c4339edfd55fa,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0007,pilot,5+,True,1,0,1,1,1,end_turn,0,0,0,,,,2026-07-12T13:41:07+00:00,ca5dcc95b9e57d6f6c7b6504cca4caa4718cad762f313940d660d8c20159d0b5,a6c660fe0c80a7f69088ae7d3752d7638ce7ede776451c7ac7528b4d5c5bad17,a4d5d218ea94109e49291f354e4f70e8b207f2bda8acfb843ae5f92e6dee18a0,acc6517c2c5354f319c9e20279c6b07f9361b8deb3e42b55d9f2ad448cf1e6f1,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0008,pilot,3-4,True,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:41:13+00:00,938ad8ee6e279bdcde1de27451c77238f6a1cc9313fea58c099e544f0a97e7cb,6d592c385ef75911066856fff1277755e8d0703045cb8f91046b3f107282e39a,8c443e96b46a659516d471659f7e10bd16bfe5005f3665033cdc226c88f2ac20,f55c4fef584bf808c4c7dfb7cc53da09125a9dfe556b9218910618ed73cb5b22,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0010,pilot,5+,True,1,0,1,1,1,end_turn,0,0,0,,,,2026-07-12T13:41:24+00:00,6e266521492bd6d5250f239dade2c982df6ee49753dcb26ead75da52ad1939c8,ee3a8946c45f43e42855de6c20a36d6b93ce33a7b4fe9603a43ea8518d2b2e2f,01d1ba696030766608badb6ec1c7ab8f1a7c2f132b64f87ca2d301bbdd15fb0f,c0616f8ab57d2dadc156accd5ebbce5b70695e80478db47834cf8fdcae97de79,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0012,pilot,3-4,False,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:41:40+00:00,ec08bfe45e1804ddbe02a3daa1bdfe00119457039df2a225b6ca74a57df005ff,4d900213145a46d7b594fafa6f464e4a85b77bf53ec9356c23eac9878b8eed25,a6f55917396caade7bfda52e8d4ff6c48909c2f61ac1f1c873bffc91fd41ef05,0d067c320eabdb04a4a416ba5dfdbf7ca70ec3d83f978cb5c45209f480b8ea3f,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0013,pilot,1-2,False,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:41:45+00:00,e3434b9fb0cd2677d482d30b041095c8da3f5f463d4edc0dee70d6676c13aea7,1fdf93fef6818f7761302c8b6dc10534f12530702e69896063c3e0c54ca7a549,f20889d47ea42e5186235226ed5469669d333a22d0f9f020a0c52a0c68414605,20bc8034880272cab46b8cfae7150823b8bfb1b130b028a32447398ba1aba97b,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0017,pilot,1-2,False,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:42:04+00:00,857c8569ca3786f823326bfd5b24d273fd8f3c89d9e34ea359db81209baf7b7e,f17c19706490343b3272bd8d978da13968886e9f3cbb32c153fff4f783763c4e,521c67e943030a80e708f9a8991f85263bc7b4fa259217cbceebc7c59ce7aefb,2d4f9f387f5ba78f0d4da04d59f74e154b0a78e6ec16b0a3170122d93cb2b0bf,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0019,pilot,3-4,False,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:42:14+00:00,11606f10c96bad95feaf21736900e0ee9be48619bcda6db96c72b4d27a413e28,77e3ce589b66c471dc38a462e9ce832fc6f078ad80b9db5a9b6f374169da0755,0ec3242fcb5f4452a913b1e07973d65e6e1bb5493c6701735ca35fcf858c0726,b86f9040580b2b4363fba0788f18b52b16e83803e2eaabf399d6742fa74b745e,1
1,claude-fable-5,Claude Fable 5,4,anthropic_claude-fable-5,anthropic,pqid_bench_external_gen_0021,pilot,3-4,False,1,1,0,1,1,end_turn,0,0,0,,,,2026-07-12T13:42:23+00:00,3c5d97392e83caeb3b35a61013e949e6534c180e531e53ec6d4ae0fac24df9fe,bec9e438e8e60c5abc748ca72cf04720a4abb14bfa6b3668298efbe5712b092f,ca8fc121aa7d22313b1a76c3d3560d4b7f19ea45177116098c2b4df2f25fb961,fc43b61d8cc51cc00bc3530c03eff21bc04b51750bdf933831cd9711d7461b44,1
